Points_max,Points_second_largest,Points_third_largest,OffensiveRebounds_max,OffensiveRebounds_second_largest,OffensiveRebounds_third_largest,DefensiveRebounds_max,DefensiveRebounds_second_largest,DefensiveRebounds_third_largest,TotalRebounds_max,TotalRebounds_second_largest,TotalRebounds_third_largest,Assistances_max,Assistances_second_largest,Assistances_third_largest,Steals_max,Steals_second_largest,Steals_third_largest,Turnovers_max,Turnovers_second_largest,Turnovers_third_largest,WINNER
14,13,9,3,2,2,10,4,4,13,6,5,5,3,2,1,1,1,6,4,3,True
15,12,10,3,2,1,5,4,4,6,6,5,4,3,2,5,2,1,3,1,1,False
18,16,8,4,1,1,8,5,4,8,6,6,5,4,2,2,1,1,4,2,2,True
18,12,11,2,1,1,7,5,4,8,5,4,4,3,3,2,2,2,6,4,3,False
17,16,13,6,5,2,5,4,3,9,9,6,2,2,2,1,1,1,4,3,2,False
16,15,13,4,2,0,6,3,2,6,5,4,11,2,2,3,2,2,4,2,1,True
15,12,11,4,3,1,4,3,3,7,6,4,5,5,4,2,2,1,3,1,1,True
18,12,10,3,2,2,5,4,2,8,6,3,5,3,2,1,1,1,3,3,3,False
21,19,12,3,1,1,7,6,6,9,8,7,11,6,4,1,1,1,2,2,1,True
14,12,10,4,3,1,5,5,4,6,6,5,2,2,2,2,2,0,3,2,2,False
13,9,9,3,1,1,6,4,3,6,6,4,5,5,3,1,0,0,5,2,2,False
19,16,10,2,1,1,4,4,4,5,4,4,6,2,2,2,2,1,1,1,1,True
22,14,13,3,1,1,6,3,2,6,6,3,4,3,2,2,2,1,3,1,1,False
16,15,12,6,3,3,4,4,3,10,6,6,7,6,5,2,1,1,3,2,2,True
20,12,12,2,1,1,6,6,3,8,7,4,9,4,1,4,2,1,4,2,2,True
16,11,10,3,1,1,4,4,4,6,5,4,4,3,1,4,1,0,4,3,2,False
26,15,13,4,3,2,5,4,4,7,6,5,6,5,1,2,2,1,2,2,2,True
14,11,11,5,2,2,6,2,2,7,6,4,3,2,2,2,1,1,4,2,2,False
28,20,13,3,2,1,5,5,5,6,6,6,8,6,3,2,1,1,6,2,2,False
19,15,14,3,2,2,7,5,3,9,5,5,7,5,4,4,2,1,2,2,1,True
17,12,10,2,2,1,6,5,3,7,6,4,3,3,2,2,2,2,5,3,3,True
18,12,8,3,3,2,3,3,3,6,6,3,3,3,3,3,2,1,3,3,2,False
21,12,9,3,1,1,6,4,2,7,5,3,4,4,3,2,2,2,2,2,2,False
14,13,12,2,2,1,6,4,4,7,6,4,6,5,3,2,1,1,3,3,2,True
16,15,7,4,1,1,5,4,3,9,5,4,4,2,2,3,3,2,3,2,2,False
13,9,9,3,2,1,7,4,4,10,6,5,3,3,2,3,2,2,4,4,2,True
14,13,12,7,3,3,6,3,3,9,7,4,6,2,2,2,2,1,3,2,1,False
23,15,13,4,3,2,9,6,3,9,6,6,9,4,2,3,1,1,3,2,2,True
21,14,12,2,2,1,6,4,3,7,5,4,3,3,3,2,1,1,2,2,2,False
23,16,15,3,3,2,11,3,2,14,5,3,6,6,2,2,2,2,3,2,2,True
13,13,10,3,2,1,7,5,4,7,7,5,9,4,3,3,2,2,4,3,2,True
16,15,10,3,2,1,6,5,4,9,6,4,5,2,2,5,2,1,4,2,1,False
26,23,19,7,3,2,7,5,3,12,10,5,4,3,2,2,1,1,3,2,2,False
33,19,13,2,1,1,8,3,3,9,4,4,7,3,2,2,1,1,5,2,2,True
16,13,10,4,1,0,9,3,2,13,3,2,4,2,1,1,1,1,4,4,2,True
15,13,10,3,2,2,4,3,3,6,6,3,5,5,4,1,1,1,2,2,1,False
15,9,9,2,1,1,4,4,3,5,4,4,6,5,3,2,2,2,3,2,2,False
14,13,9,4,3,3,5,4,2,6,6,5,5,4,4,4,2,1,6,2,2,True
20,15,12,3,3,2,3,3,3,5,5,4,8,5,4,2,2,1,3,2,2,True
22,18,10,2,1,1,4,4,4,6,5,4,8,2,2,2,2,1,3,2,2,False
17,10,8,6,2,1,5,3,3,9,5,5,4,4,2,2,2,1,4,4,2,False
19,15,13,2,2,1,6,4,3,6,4,4,8,3,1,3,2,2,5,3,2,True
21,15,9,2,2,2,4,4,4,6,5,5,3,2,2,3,2,1,3,3,1,False
21,13,10,4,2,2,7,6,5,9,7,7,7,5,2,1,1,1,5,2,2,True
14,14,14,1,1,1,7,5,4,8,6,5,7,4,3,1,1,1,3,2,1,True
19,11,8,3,2,1,4,3,3,7,4,3,3,1,1,1,1,1,1,1,1,False
25,15,12,2,1,1,5,4,4,6,4,4,4,4,3,2,2,1,4,2,2,True
23,12,10,7,1,1,5,4,3,10,5,5,4,3,2,3,2,1,6,4,2,False
14,13,11,3,2,2,5,5,5,8,6,5,4,3,3,1,1,1,4,3,2,False
16,15,11,4,2,1,11,5,4,15,6,4,7,6,3,2,2,1,2,2,1,True
17,14,11,2,2,1,6,4,4,8,5,5,5,5,4,1,1,0,3,2,2,False
30,18,10,3,1,1,6,3,2,6,4,3,4,3,2,4,2,1,2,1,1,True
23,14,11,3,2,1,9,4,3,12,4,4,7,4,2,2,2,1,3,2,1,True
17,14,14,2,2,1,6,4,4,7,6,4,8,3,3,1,1,0,3,3,2,False
12,10,10,2,2,2,4,4,3,5,5,4,6,4,3,3,1,1,5,3,3,False
18,15,15,4,4,2,4,3,3,7,5,5,4,2,2,3,2,1,3,2,2,True
16,13,10,3,2,1,7,4,3,7,6,4,3,2,2,2,1,1,3,3,2,False
20,17,16,3,1,1,8,5,2,9,5,5,7,5,3,3,2,1,2,2,1,True
15,11,11,5,4,2,6,4,2,11,6,5,3,2,2,2,2,1,3,3,2,False
17,13,12,3,2,1,4,3,3,6,5,4,8,6,2,2,2,1,5,4,1,True
17,14,13,1,1,1,9,5,3,9,6,3,11,3,1,3,1,1,1,1,1,True
20,13,12,5,1,1,5,5,3,8,5,5,5,3,3,3,3,1,2,2,2,False
11,10,6,2,2,1,4,3,3,4,4,3,4,2,2,2,1,1,4,2,1,False
20,14,14,4,3,2,8,4,4,9,7,7,4,3,2,1,1,1,3,2,1,True
15,15,12,2,1,1,5,5,5,7,6,5,7,4,3,2,1,1,4,3,2,False
20,16,10,3,2,2,8,5,5,11,6,5,11,4,1,2,1,1,3,2,2,True
27,13,10,5,3,2,3,3,2,6,6,4,3,3,2,4,3,2,3,2,1,True
28,12,11,5,3,2,8,4,3,10,6,5,6,3,2,1,1,1,4,4,3,False
17,10,8,2,1,1,5,3,3,5,5,4,4,3,2,2,2,1,4,2,2,False
13,12,11,1,1,1,8,5,4,9,6,4,8,5,2,2,1,1,3,3,3,True
26,20,12,5,1,1,7,5,4,10,7,4,8,6,3,3,1,1,2,2,2,True
16,15,12,1,1,1,5,3,2,5,3,3,10,3,2,2,1,1,4,2,2,False
17,12,11,4,3,2,6,2,2,9,6,4,5,5,3,1,1,1,4,4,2,False
22,14,13,5,3,2,5,5,4,7,6,6,9,6,1,2,2,1,4,3,1,True
16,11,10,4,1,0,4,3,3,7,4,3,9,5,2,4,2,1,4,3,2,False
26,11,10,5,2,0,4,3,3,8,6,3,4,3,2,3,1,1,3,2,2,True
15,15,9,4,2,2,8,3,3,10,5,4,9,3,2,2,2,2,5,3,3,False
20,16,12,2,2,2,6,3,3,7,5,5,8,5,2,3,2,1,2,2,2,True
23,20,10,3,2,1,5,3,3,6,4,4,5,5,4,3,2,2,4,3,2,True
15,13,10,3,1,1,6,4,3,7,4,4,8,3,3,2,1,1,3,2,2,False
18,16,14,2,1,1,4,3,3,5,4,4,4,4,3,3,1,1,2,2,2,True
28,18,13,4,3,1,6,3,2,10,5,3,4,3,3,1,1,1,4,2,1,False
18,12,10,5,1,1,9,3,2,10,6,3,2,2,2,3,2,2,3,3,1,False
20,12,12,3,3,2,10,6,5,13,7,6,6,3,2,1,1,1,4,2,2,True
25,19,11,3,2,1,6,5,5,7,6,5,4,3,3,2,1,1,2,2,2,True
19,14,12,3,1,1,5,5,3,6,6,6,5,4,2,2,2,1,2,2,2,False
18,7,7,2,1,1,5,5,4,6,6,5,5,4,2,1,1,1,3,2,2,False
13,11,9,5,1,1,6,4,3,7,6,5,5,2,2,3,2,1,2,2,1,True
14,11,8,1,1,1,6,4,3,6,4,3,4,3,2,3,2,1,5,5,2,False
13,13,11,3,2,2,5,4,4,7,6,5,5,5,4,2,2,1,3,3,3,True
16,14,13,6,3,1,6,5,3,12,5,4,4,4,3,1,0,0,3,2,2,False
21,20,13,3,1,1,6,5,3,7,6,5,3,3,2,2,2,1,1,1,1,True
29,15,13,6,5,0,5,5,3,11,10,3,4,2,2,3,2,2,3,3,3,True
17,17,14,4,3,2,5,3,2,7,5,4,4,3,2,3,2,2,2,2,2,False
25,15,11,2,1,1,7,7,4,9,8,5,5,4,3,2,1,1,5,3,2,True
21,12,11,1,1,1,3,2,2,3,3,2,7,4,2,2,2,1,3,2,2,False
24,21,11,2,2,1,6,6,4,8,7,5,4,4,2,1,1,1,4,1,1,False
16,12,10,6,4,3,5,4,4,8,7,4,7,4,2,1,1,1,2,2,1,True
14,12,11,2,2,2,5,4,4,6,6,5,8,8,3,2,1,1,4,3,2,False
21,15,14,5,3,2,4,3,3,7,4,4,4,3,3,2,1,1,3,2,2,True
23,11,11,2,2,1,5,3,2,7,3,3,4,3,2,2,1,0,3,3,2,False
26,14,13,3,2,2,6,3,3,7,5,5,7,3,3,2,2,1,3,2,2,True
17,17,10,2,1,1,4,3,3,5,4,3,7,6,3,3,2,2,2,2,2,True
20,12,11,3,2,1,6,4,3,7,6,6,7,6,6,2,2,2,4,3,2,False
20,16,13,3,2,2,5,3,1,5,5,3,7,3,2,2,2,2,2,2,2,False
23,18,15,3,2,2,4,4,4,6,6,6,8,8,5,2,1,1,6,2,2,True
16,16,14,2,1,0,5,3,2,7,4,2,5,4,3,3,3,2,2,2,2,True
14,13,12,3,3,1,5,3,3,8,6,3,4,4,3,3,1,1,3,3,2,False
14,14,12,4,2,2,4,4,3,4,4,4,6,3,2,3,2,2,2,2,1,True
20,13,12,2,2,1,7,4,3,7,5,4,9,5,2,2,1,1,4,4,3,False
14,14,12,3,1,1,5,4,3,6,6,5,3,2,2,4,1,1,4,4,3,False
17,15,14,4,1,1,4,3,3,7,5,4,8,4,4,3,2,2,2,2,2,True
21,16,12,2,2,1,5,5,4,7,7,4,8,3,2,1,1,1,3,3,2,True
15,12,11,3,1,1,4,1,1,7,2,2,4,3,2,3,1,1,2,2,2,False
19,15,14,4,4,1,5,3,3,6,6,6,6,4,3,2,1,1,5,4,3,True
18,16,10,5,2,2,4,3,2,6,5,4,5,3,3,2,2,1,3,3,3,False
25,17,15,2,2,1,7,7,3,9,7,4,8,2,1,1,1,1,5,2,1,False
13,13,11,3,2,1,4,4,4,5,5,4,6,5,3,1,1,1,2,1,1,True
17,13,12,4,1,1,3,3,2,6,4,3,4,3,1,2,1,1,3,2,1,False
25,20,17,4,2,1,6,5,4,10,6,5,6,5,3,1,1,1,6,3,2,True
20,14,10,2,2,2,7,6,5,9,7,7,6,5,2,1,1,0,6,4,2,False
16,16,15,3,3,2,8,4,3,11,5,4,7,3,3,3,2,2,2,2,1,True
15,14,12,2,2,2,5,5,3,7,5,5,4,3,2,3,2,1,3,3,2,True
13,11,9,3,1,1,8,5,2,11,5,3,5,4,2,2,1,1,4,2,1,False
24,14,12,4,2,1,3,3,3,6,5,4,5,3,2,4,2,2,2,2,2,False
27,16,15,3,2,1,6,6,3,8,6,6,4,3,2,2,2,1,7,4,2,True
28,18,14,3,2,1,4,4,3,6,5,5,4,3,2,1,1,1,3,3,2,False
24,22,16,2,1,1,6,4,3,6,5,3,5,2,1,4,2,2,3,2,2,True
16,14,13,2,2,0,5,4,3,5,5,5,4,3,2,3,2,1,4,3,2,False
16,12,11,4,2,1,5,4,2,8,5,3,3,3,2,3,2,1,5,4,2,True
20,16,14,3,2,1,11,2,2,13,5,3,7,4,3,6,1,1,4,2,1,True
12,11,9,4,3,2,5,3,3,6,6,5,5,3,2,3,1,1,5,3,2,False
10,7,7,4,3,3,4,3,2,5,5,5,3,3,2,2,1,1,3,1,1,False
16,15,14,3,1,1,6,5,4,7,6,5,6,5,3,2,1,1,3,3,3,True
13,10,10,2,2,2,5,3,2,7,4,3,3,2,2,2,2,1,4,3,2,False
19,13,10,2,2,2,5,4,3,7,5,4,10,5,3,2,2,1,4,3,2,True
20,12,11,3,2,1,4,3,2,5,4,4,5,3,2,1,1,1,3,2,1,False
19,16,14,2,2,2,6,5,4,6,5,4,7,4,3,2,1,1,4,2,2,True
17,13,12,5,2,1,5,5,4,9,5,5,7,2,2,3,2,2,3,3,3,False
22,12,11,2,2,1,5,3,2,5,4,4,7,1,1,3,2,1,5,4,2,True
19,11,8,3,2,2,5,4,3,7,5,4,3,2,1,3,1,1,3,2,2,False
23,10,8,2,2,1,8,6,5,10,8,6,2,2,2,3,2,1,3,3,2,True
23,17,16,3,1,1,4,3,3,4,4,4,7,5,3,2,1,1,4,3,2,False
21,21,16,7,2,1,6,5,4,8,7,5,5,4,3,2,1,0,2,2,2,True
21,15,13,4,2,2,4,4,4,6,5,5,7,7,3,2,2,2,3,2,2,True
18,17,16,5,2,2,4,3,3,8,5,5,5,5,3,2,2,1,3,2,1,False
21,17,15,2,2,1,6,3,3,8,4,3,6,5,1,3,2,1,3,3,2,True
23,12,10,3,2,2,7,3,3,8,5,5,7,7,2,2,2,2,5,3,3,False
21,17,15,4,1,0,6,4,2,10,5,2,9,5,3,4,3,1,4,3,1,False
22,16,13,4,3,1,7,5,3,7,7,5,6,3,2,2,1,1,3,2,2,True
24,13,12,3,1,0,6,5,4,9,5,4,7,4,1,3,1,0,3,3,2,True
10,9,7,3,1,1,4,3,3,6,4,3,4,3,2,3,1,1,2,2,1,False
28,16,10,5,2,2,8,4,3,10,6,6,6,3,3,2,1,1,2,2,2,True
17,15,11,4,1,1,5,2,2,5,5,3,5,3,2,5,2,1,4,2,2,False
23,10,8,2,1,1,4,3,3,5,5,4,2,2,1,1,1,1,3,1,1,False
13,11,9,4,3,2,6,4,3,10,5,5,6,5,3,1,1,1,2,2,1,True
13,12,12,4,2,2,5,5,5,7,6,5,5,3,2,2,1,1,3,2,2,True
15,13,11,2,1,1,5,5,4,6,6,5,5,3,3,1,1,0,3,2,2,False
20,19,14,2,1,1,9,9,4,10,10,5,8,5,3,2,1,0,4,3,2,False
26,18,15,2,1,1,7,3,3,8,4,4,4,3,3,1,1,1,2,1,1,True
18,17,11,4,3,2,4,4,3,7,4,4,3,3,2,1,1,0,3,3,2,False
19,19,15,3,2,2,5,4,3,7,5,4,5,5,4,4,3,2,2,2,1,True
23,16,10,3,2,1,6,3,3,6,6,5,7,3,1,1,1,1,6,3,2,False
12,11,9,1,1,1,5,4,2,6,5,3,3,3,2,3,2,2,3,2,1,True
12,12,10,2,2,1,6,5,5,7,6,5,7,3,3,2,1,1,5,3,2,False
24,19,12,2,1,1,7,5,3,9,6,4,11,4,3,4,2,1,3,2,1,True
22,11,9,2,1,1,4,4,4,6,5,4,6,6,2,3,2,2,5,4,3,True
18,16,15,3,1,1,4,3,3,6,4,4,4,3,3,3,2,1,7,3,2,False
20,17,16,3,2,2,5,3,2,6,5,4,6,4,4,2,1,0,3,3,2,False
20,17,15,4,2,1,4,4,3,8,4,4,4,4,3,2,2,1,3,2,2,True
18,14,12,2,2,2,5,3,3,6,5,3,4,3,2,2,2,1,4,3,2,False
16,13,13,3,2,1,5,3,2,8,3,3,6,4,3,3,2,2,3,2,2,True
25,13,13,2,1,1,4,3,2,5,3,3,6,2,2,3,1,1,2,1,1,False
18,17,11,2,1,1,6,3,3,6,4,4,6,4,4,3,1,1,3,3,3,True
11,10,9,6,2,1,6,5,3,9,7,6,5,2,2,2,1,1,4,2,2,False
25,10,9,2,1,1,5,5,4,6,6,5,7,4,2,2,2,2,4,2,2,True
21,19,12,2,1,1,6,6,3,8,7,3,5,4,2,2,2,1,7,3,1,True
22,15,15,4,1,1,5,4,3,7,6,4,4,2,2,2,1,1,2,2,2,False
19,18,13,5,1,1,4,4,3,7,4,4,5,3,2,3,2,1,5,4,2,True
19,15,12,3,1,1,5,3,2,5,4,3,7,2,2,5,2,2,4,3,3,False
18,13,12,2,2,1,5,4,3,6,6,5,6,3,2,3,1,1,4,2,2,False
24,19,18,2,1,1,9,5,3,9,6,5,9,3,2,3,2,2,3,3,1,True
19,16,15,3,2,2,4,3,2,6,6,4,6,5,2,3,2,2,3,2,1,True
17,15,12,2,2,2,6,3,2,7,4,3,6,5,2,3,1,1,3,3,3,False
17,17,11,5,4,2,4,3,3,6,6,5,5,4,3,3,2,1,4,3,1,True
13,13,11,1,1,1,5,4,3,5,5,3,4,3,2,1,1,1,4,3,3,False
23,14,7,5,2,1,7,7,5,12,8,6,4,3,3,2,1,1,3,2,2,False
15,11,9,3,2,1,6,3,3,9,5,4,7,3,2,2,1,1,2,2,2,True
22,18,17,6,2,1,7,3,2,9,6,4,5,5,5,3,2,1,4,3,3,True
22,19,15,2,1,1,8,3,2,10,3,3,6,3,3,2,1,1,5,2,1,False
18,17,12,3,1,1,7,7,4,8,7,4,6,4,4,1,1,0,4,3,2,True
20,15,10,5,1,1,2,2,2,7,3,2,6,5,2,3,1,1,1,1,1,False
15,11,11,3,1,1,6,3,2,9,4,2,3,3,2,3,2,1,4,3,2,False
20,16,12,2,2,1,7,3,3,8,5,4,5,5,3,3,2,2,5,3,3,True
25,19,11,4,2,1,9,8,4,13,8,5,4,4,3,2,1,1,3,2,1,True
18,10,10,3,2,1,3,3,3,4,4,3,5,2,2,3,2,0,2,1,1,False
36,21,8,1,1,1,4,4,3,5,5,3,7,1,1,2,1,1,8,2,1,False
23,14,12,4,4,3,6,3,2,9,6,5,5,3,2,2,2,1,3,2,1,True
13,13,11,4,1,1,6,6,6,10,6,6,8,7,6,2,2,1,5,4,4,True
15,12,12,3,2,1,3,3,2,5,4,3,4,4,3,5,3,2,4,3,3,False
16,15,13,2,2,2,6,4,4,6,6,4,6,4,4,4,1,1,5,5,3,False
31,22,9,4,2,1,8,7,6,9,7,7,5,2,1,4,2,1,2,2,2,True
15,13,11,2,1,1,5,4,3,5,5,5,5,4,2,0,0,0,6,3,2,False
15,11,10,4,2,2,4,3,2,6,5,4,6,4,3,2,1,1,3,2,1,True
20,14,10,2,1,1,6,4,3,7,4,4,6,4,2,4,4,1,4,3,2,True
15,14,13,7,2,2,4,4,4,10,6,6,3,3,3,3,2,1,3,3,3,False
28,19,12,4,2,2,5,4,3,8,7,4,4,3,2,3,1,0,2,1,1,True
24,17,12,7,1,1,11,6,5,18,6,6,5,4,3,1,1,1,3,3,1,False
20,19,17,2,2,1,4,4,4,5,4,4,7,5,4,1,1,1,4,4,3,True
15,9,9,3,3,1,5,4,3,8,6,5,6,5,3,2,2,2,2,2,1,False
19,14,10,8,1,1,10,4,2,18,4,3,3,2,1,2,2,1,3,1,1,True
17,14,13,4,2,1,4,4,3,5,5,4,4,3,2,2,2,1,5,3,2,False
12,10,9,4,2,2,3,2,2,7,4,4,5,3,2,2,2,1,3,3,3,False
19,15,15,3,2,1,4,3,2,5,4,4,8,7,4,2,2,1,3,2,2,True
12,10,8,5,3,2,7,4,3,12,5,4,3,2,1,1,1,1,3,2,2,False
14,14,10,2,2,1,5,4,4,7,5,5,10,4,2,3,2,1,2,2,1,True
18,14,14,4,1,1,7,4,2,8,5,4,3,3,3,2,2,1,3,2,2,False
27,21,8,4,2,1,4,3,2,4,4,4,4,2,2,4,1,1,3,3,2,True
26,15,11,3,2,0,5,3,3,8,5,3,6,4,3,3,2,1,3,2,2,False
32,14,9,1,1,1,4,4,4,5,4,4,3,3,2,2,2,1,5,3,1,True
13,11,10,4,1,1,4,3,2,7,5,3,4,2,1,2,1,1,6,5,3,False
21,12,12,2,1,1,3,3,3,4,4,4,7,3,3,3,2,2,4,4,3,True
20,14,13,3,2,1,7,5,4,7,6,5,8,4,1,4,1,1,3,1,1,True
18,14,12,2,1,1,5,2,2,5,3,3,4,4,2,1,1,1,2,2,2,False
14,11,10,4,2,1,6,5,4,8,7,7,4,3,3,1,1,0,5,4,1,True
14,11,9,3,2,2,4,3,3,6,6,4,3,2,2,2,1,1,2,1,1,False
22,21,12,4,2,2,7,5,5,9,9,7,6,4,3,3,3,2,2,2,2,False
23,20,18,4,2,2,8,4,2,10,8,4,6,4,3,3,2,2,3,3,2,True
19,18,11,2,1,1,5,4,3,6,6,4,3,3,2,3,2,1,3,2,2,True
17,16,15,2,1,1,4,4,4,5,4,4,6,2,2,3,3,1,5,2,2,False
15,9,8,2,1,1,8,4,3,9,6,4,8,3,2,2,2,1,6,2,1,True
16,11,10,2,2,1,5,4,4,6,6,4,4,2,2,2,1,1,3,2,1,False
14,13,12,5,3,3,6,4,4,8,7,6,7,4,2,2,1,1,4,3,2,False
16,13,13,2,1,1,5,4,4,7,4,4,9,4,4,1,1,1,5,4,2,True
19,15,11,3,2,1,5,3,3,6,6,5,7,2,2,3,2,1,2,2,2,True
20,16,12,2,1,1,10,2,2,11,4,2,6,4,3,1,1,1,4,3,1,False
22,17,8,5,1,1,6,5,4,7,6,5,5,4,2,1,1,1,3,2,2,False
