GAMECODE,CODETEAM,joueur_1,TIME,DELTA_SCORE,OFF,DEF
1,BER,P008780,0 days 00:27:18,1,52,51
1,BER,P006919,0 days 00:25:18,-10,42,52
1,BER,P012604,0 days 00:24:17,-8,50,58
1,BER,P010791,0 days 00:22:25,-6,40,46
1,BER,P007025,0 days 00:21:09,-7,34,41
1,BER,P011934,0 days 00:19:03,-12,36,48
1,BER,P012721,0 days 00:18:08,6,46,40
1,BER,P008173,0 days 00:16:18,-6,35,41
1,BER,P008062,0 days 00:15:15,-8,33,41
1,BER,P011631,0 days 00:10:49,0,17,17
1,PAN,P012774,0 days 00:32:13,15,69,54
1,PAN,P003842,0 days 00:27:08,8,57,49
1,PAN,P011204,0 days 00:21:16,-4,49,53
1,PAN,P012712,0 days 00:21:16,-4,49,53
1,PAN,P009622,0 days 00:20:11,15,45,30
1,PAN,P002328,0 days 00:17:15,11,36,25
1,PAN,P001926,0 days 00:16:00,5,40,35
1,PAN,P007866,0 days 00:14:56,8,30,22
1,PAN,P004088,0 days 00:14:39,-2,27,29
1,PAN,P005353,0 days 00:14:16,3,33,30
1,PAN,P011209,0 days 00:00:50,-5,0,5
2,MCO,P011226,0 days 00:29:27,8,67,59
2,MCO,P011212,0 days 00:25:40,9,63,54
2,MCO,PLCZ,0 days 00:23:31,7,51,44
2,MCO,P008099,0 days 00:21:26,4,51,47
2,MCO,P011231,0 days 00:20:37,11,53,42
2,MCO,P002581,0 days 00:20:36,4,49,45
2,MCO,P005844,0 days 00:19:24,9,44,35
2,MCO,P005985,0 days 00:18:34,9,42,33
2,MCO,P005763,0 days 00:14:20,4,30,26
2,MCO,P013365,0 days 00:06:25,0,15,15
2,MIL,P007831,0 days 00:28:19,-18,53,71
2,MIL,P000796,0 days 00:27:19,-15,53,68
2,MIL,P006085,0 days 00:24:04,-10,54,64
2,MIL,P008985,0 days 00:22:49,-5,44,49
2,MIL,P011199,0 days 00:22:24,-15,41,56
2,MIL,P008987,0 days 00:17:52,-2,37,39
2,MIL,P001392,0 days 00:15:25,-6,21,27
2,MIL,P013384,0 days 00:15:16,1,34,33
2,MIL,P013386,0 days 00:12:25,6,29,23
2,MIL,P001518,0 days 00:09:46,-6,20,26
2,MIL,P006509,0 days 00:04:21,5,14,9
3,ZAL,P007513,0 days 00:26:29,5,57,52
3,ZAL,P011983,0 days 00:25:39,8,48,40
3,ZAL,P002676,0 days 00:24:49,0,53,53
3,ZAL,P012622,0 days 00:21:37,3,34,31
3,ZAL,P005504,0 days 00:19:13,-7,34,41
3,ZAL,P007975,0 days 00:17:44,11,41,30
3,ZAL,P003048,0 days 00:16:22,10,36,26
3,ZAL,P011925,0 days 00:15:40,-4,22,26
3,ZAL,P002329,0 days 00:15:11,7,21,14
3,ZAL,P007029,0 days 00:12:23,-2,20,22
3,ZAL,P011051,0 days 00:04:25,4,4,0
3,ZAL,P003210,0 days 00:00:28,0,0,0
3,BAR,P002939,0 days 00:28:00,-5,50,55
3,BAR,P009862,0 days 00:24:52,-14,42,56
3,BAR,P012745,0 days 00:23:58,6,45,39
3,BAR,P006435,0 days 00:23:29,11,44,33
3,BAR,P003478,0 days 00:23:00,-3,41,44
3,BAR,P013379,0 days 00:22:35,-8,38,46
3,BAR,P000925,0 days 00:20:48,-7,24,31
3,BAR,P012795,0 days 00:14:16,-10,22,32
3,BAR,P003196,0 days 00:11:34,-4,23,27
3,BAR,P010106,0 days 00:07:28,-1,6,7
4,BAS,P012201,0 days 00:35:25,8,76,68
4,BAS,P012080,0 days 00:30:53,8,70,62
4,BAS,P007230,0 days 00:27:08,-4,61,65
4,BAS,P011196,0 days 00:22:20,4,49,45
4,BAS,P013367,0 days 00:22:11,7,56,49
4,BAS,P011948,0 days 00:20:07,9,46,37
4,BAS,P008072,0 days 00:17:12,2,39,37
4,BAS,P012597,0 days 00:16:46,-2,28,30
4,BAS,P011085,0 days 00:06:55,-3,11,14
4,BAS,P004058,0 days 00:01:03,1,4,3
4,PAR,P011981,0 days 00:31:13,-9,59,68
4,PAR,P007870,0 days 00:30:38,-5,61,66
4,PAR,P004761,0 days 00:28:56,6,68,62
4,PAR,P012720,0 days 00:24:49,-8,44,52
4,PAR,P006760,0 days 00:23:38,-3,53,56
4,PAR,P010781,0 days 00:22:55,1,47,46
4,PAR,P013369,0 days 00:19:59,-5,43,48
4,PAR,P006591,0 days 00:17:52,-7,35,42
5,MUN,P007201,0 days 00:33:52,-6,72,78
5,MUN,P011987,0 days 00:26:55,10,70,60
5,MUN,P007056,0 days 00:24:57,13,57,44
5,MUN,P011224,0 days 00:23:11,21,66,45
5,MUN,P001288,0 days 00:23:07,-9,49,58
5,MUN,P001557,0 days 00:18:36,15,53,38
5,MUN,P010391,0 days 00:17:09,-6,38,44
5,MUN,P011244,0 days 00:14:53,-2,36,38
5,MUN,P004508,0 days 00:13:05,-2,27,29
5,MUN,P007639,0 days 00:04:15,6,17,11
5,MAD,P009005,0 days 00:27:32,-12,60,72
5,MAD,P005928,0 days 00:27:22,6,62,56
5,MAD,P006540,0 days 00:24:16,1,54,53
5,MAD,P005791,0 days 00:21:05,2,47,45
5,MAD,P003733,0 days 00:17:06,9,42,33
5,MAD,P003583,0 days 00:16:26,-7,40,47
5,MAD,P013378,0 days 00:14:27,-9,34,43
5,MAD,P009213,0 days 00:14:07,-1,29,30
5,MAD,PTGB,0 days 00:13:55,-16,23,39
5,MAD,P011247,0 days 00:11:38,-11,23,34
5,MAD,P011649,0 days 00:07:28,2,22,20
5,MAD,P007630,0 days 00:04:38,-4,9,13
6,TEL,P011214,0 days 00:29:04,2,64,62
6,TEL,P011193,0 days 00:28:51,18,73,55
6,TEL,P013382,0 days 00:28:16,12,67,55
6,TEL,P009754,0 days 00:26:31,19,71,52
6,TEL,P011219,0 days 00:22:29,5,54,49
6,TEL,P006835,0 days 00:21:23,-1,43,44
6,TEL,P007990,0 days 00:18:19,0,32,32
6,TEL,P007519,0 days 00:15:06,-11,24,35
6,TEL,P004233,0 days 00:04:22,-8,7,15
6,TEL,P013381,0 days 00:03:22,1,5,4
6,TEL,P007855,0 days 00:02:17,-2,5,7
6,ASV,P007027,0 days 00:26:38,-10,52,62
6,ASV,P004194,0 days 00:25:47,-15,48,63
6,ASV,P011225,0 days 00:24:51,-13,47,60
6,ASV,P000229,0 days 00:21:57,-8,43,51
6,ASV,P012731,0 days 00:19:44,2,38,36
6,ASV,P008991,0 days 00:17:46,3,38,35
6,ASV,P010545,0 days 00:16:43,-4,40,44
6,ASV,P013371,0 days 00:15:46,6,35,29
6,ASV,P003526,0 days 00:14:00,0,28,28
6,ASV,P002100,0 days 00:13:22,3,30,27
6,ASV,PKIR,0 days 00:03:26,1,11,10
7,ULK,P009863,0 days 00:31:33,14,72,58
7,ULK,P009783,0 days 00:28:16,8,55,47
7,ULK,P008962,0 days 00:27:21,16,58,42
7,ULK,P011205,0 days 00:22:51,7,43,36
7,ULK,P004004,0 days 00:20:36,-1,40,41
7,ULK,P002849,0 days 00:19:56,6,43,37
7,ULK,PLMG,0 days 00:15:32,6,33,27
7,ULK,P010560,0 days 00:11:44,3,27,24
7,ULK,P002968,0 days 00:09:38,-5,20,25
7,ULK,P007182,0 days 00:07:53,1,12,11
7,ULK,P008104,0 days 00:02:35,3,5,2
7,ULK,P006661,0 days 00:02:05,-3,2,5
7,OLY,P003469,0 days 00:30:31,-4,58,62
7,OLY,P013380,0 days 00:22:25,-7,40,47
7,OLY,P012878,0 days 00:21:59,-2,41,43
7,OLY,P008855,0 days 00:21:45,-7,38,45
7,OLY,P007982,0 days 00:20:58,-10,33,43
7,OLY,P007853,0 days 00:20:00,-2,38,40
7,OLY,P011194,0 days 00:18:01,-9,30,39
7,OLY,P009849,0 days 00:16:27,-8,29,37
7,OLY,P001255,0 days 00:14:33,-1,25,26
7,OLY,P008829,0 days 00:09:29,-7,13,20
7,OLY,P007947,0 days 00:03:52,2,10,8
8,PRS,P010390,0 days 00:28:34,2,50,48
8,PRS,P012610,0 days 00:28:34,2,50,48
8,PRS,P012608,0 days 00:27:51,4,50,46
8,PRS,P012613,0 days 00:25:51,7,53,46
8,PRS,P012640,0 days 00:20:28,-6,45,51
8,PRS,P007032,0 days 00:18:24,-4,36,40
8,PRS,P013373,0 days 00:14:09,-10,24,34
8,PRS,P004197,0 days 00:13:17,0,23,23
8,PRS,P004512,0 days 00:11:26,-5,27,32
8,PRS,P012609,0 days 00:11:26,-5,27,32
8,RED,P010612,0 days 00:29:17,14,63,49
8,RED,P004866,0 days 00:27:38,7,51,44
8,RED,P009048,0 days 00:27:03,6,63,57
8,RED,P006436,0 days 00:23:31,-1,52,53
8,RED,P000848,0 days 00:22:42,5,52,47
8,RED,P002553,0 days 00:21:09,1,43,42
8,RED,P009035,0 days 00:16:20,7,31,24
8,RED,P012044,0 days 00:14:15,-6,20,26
8,RED,P012786,0 days 00:09:14,0,12,12
8,RED,P004007,0 days 00:03:50,-9,5,14
8,RED,P006240,0 days 00:02:31,-5,6,11
8,RED,P007960,0 days 00:02:30,-4,2,6
9,VIR,P009549,0 days 00:31:22,-5,58,63
9,VIR,P001133,0 days 00:29:33,8,58,50
9,VIR,P004554,0 days 00:21:00,0,35,35
9,VIR,P001844,0 days 00:19:35,-7,36,43
9,VIR,P004888,0 days 00:18:07,-11,24,35
9,VIR,P002084,0 days 00:16:52,-15,22,37
9,VIR,PBCN,0 days 00:15:53,-3,27,30
9,VIR,P006739,0 days 00:15:06,-9,21,30
9,VIR,P012585,0 days 00:13:40,8,25,17
9,VIR,P013374,0 days 00:11:48,-9,17,26
9,VIR,P012591,0 days 00:06:17,0,10,10
9,VIR,P011816,0 days 00:00:47,-2,2,4
9,IST,P012788,0 days 00:26:12,8,51,43
9,IST,P011078,0 days 00:24:25,22,58,36
9,IST,P007200,0 days 00:23:19,-10,34,44
9,IST,P009846,0 days 00:23:07,3,43,40
9,IST,P007109,0 days 00:20:50,8,40,32
9,IST,P006590,0 days 00:18:07,11,40,29
9,IST,P012710,0 days 00:16:09,3,30,27
9,IST,P004887,0 days 00:13:48,1,25,24
9,IST,P013363,0 days 00:12:09,-3,18,21
9,IST,P009664,0 days 00:12:00,8,26,18
9,IST,P013364,0 days 00:05:54,0,13,13
9,IST,P009513,0 days 00:04:00,-6,2,8
